City,Country,Maximum Temperature,Current Description,Latitude,Longitude,Hotel Name
Dunedin,NZ,59.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
Christchurch,NZ,75.33,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
Isangel,VU,84.6,few clouds,-19.55,169.2667,Tanna Lodge
Ngunguru,NZ,67.93,overcast clouds,-35.6167,174.5,Oceans Tutukaka
Gisborne,NZ,68.45,scattered clouds,-38.6533,178.0042,Portside Hotel
Hastings,GB,50.29,clear sky,50.8552,0.5729,White Rock Hotel
